Id,SalePrice
1461,121851.49
1462,156410.5
1463,170266.09
1464,181733.0
1465,199233.51
1466,189059.5
1467,173981.77
1468,178950.74
1469,180378.22
1470,117250.08
1471,194330.75
1472,97168.0
1473,91013.5
1474,150273.0
1475,140970.35
1476,420223.36
1477,257781.6
1478,315143.6
1479,276407.37
1480,442517.14
1481,333852.03
1482,210929.13
1483,177920.86
1484,164742.01
1485,171547.8
1486,207664.03
1487,351519.93
1488,260098.56
1489,212077.82
1490,194482.05
1491,196920.65
1492,89935.93
1493,185722.25
1494,293382.92
1495,278755.85
1496,209225.4
1497,159837.43
1498,150225.84
1499,151521.32
1500,148042.6066666667
1501,174335.97
1502,154380.56
1503,290486.91
1504,230461.85
1505,210349.13
1506,176232.05
1507,210970.78
1508,190562.26
1509,161740.75
1510,145913.75
1511,145218.12
1512,147204.18
1513,160352.32
1514,148075.46
1515,171545.4
1516,147450.32
1517,153374.5
1518,126305.95
1519,219426.03
1520,134614.5
1521,140349.0
1522,164701.72
1523,119208.37
1524,130810.5
1525,122850.45
1526,131135.09
1527,99246.71
1528,130504.75
1529,143461.37
1530,169987.65
1531,141924.05
1532,106206.82
1533,138572.41
1534,122719.55
1535,151022.74
1536,117160.59
1537,62385.59
1538,192379.78
1539,252175.61
1540,113899.87
1541,148424.92
1542,139268.84
1543,202051.04
1544,74023.0
1545,100412.56
1546,126729.04
1547,143038.14
1548,130167.42
1549,107698.04
1550,133097.8
1551,110366.21
1552,152754.23
1553,161780.98
1554,123137.83
1555,160870.0
1556,99176.7
1557,107381.09
1558,92818.93
1559,119739.4
1560,142487.95
1561,126218.87
1562,126300.08
1563,121175.83
1564,152480.67
1565,156061.64
1566,227231.61
1567,65354.58
1568,211459.9
1569,145790.12
1570,140298.25
1571,145890.21
1572,138446.75
1573,229851.43
1574,112390.73
1575,199531.67
1576,200492.9
1577,205755.4
1578,151268.22
1579,138070.5
1580,187571.0
1581,148687.0
1582,122111.5
1583,321405.14
1584,242053.76
1585,137458.75
1586,64421.03
1587,126826.1
1588,149277.0
1589,99486.54
1590,139717.0
1591,115793.48
1592,120929.85
1593,115818.38
1594,160588.92
1595,135908.19
